team 1,team 2,score 1,score 2
QATAR,ECUADOR,0,2
ENGLAND,IRAN,6,2
SENEGAL,NETHERLANDS,0,2
UNITED STATES,WALES,1,1
ARGENTINA,SAUDI ARABIA,1,2
DENMARK,TUNISIA,0,0
MEXICO,POLAND,0,0
FRANCE,AUSTRALIA,4,1
MOROCCO,CROATIA,0,0
GERMANY,JAPAN,1,2
SPAIN,COSTA RICA,7,0
BELGIUM,CANADA,1,0
SWITZERLAND,CAMEROON,1,0
URUGUAY,KOREA REPUBLIC,0,0
PORTUGAL,GHANA,3,2
BRAZIL,SERBIA,2,0
WALES,IRAN,0,2
QATAR,SENEGAL,1,3
NETHERLANDS,ECUADOR,1,1
ENGLAND,UNITED STATES,0,0
TUNISIA,AUSTRALIA,0,1
POLAND,SAUDI ARABIA,2,0
FRANCE,DENMARK,2,1
ARGENTINA,MEXICO,2,0
JAPAN,COSTA RICA,0,1
BELGIUM,MOROCCO,0,2
CROATIA,CANADA,4,1
SPAIN,GERMANY,1,1
CAMEROON,SERBIA,3,3
KOREA REPUBLIC,GHANA,2,3
BRAZIL,SWITZERLAND,1,0
PORTUGAL,URUGUAY,2,0
NETHERLANDS,QATAR,2,0
ECUADOR,SENEGAL,1,2
WALES,ENGLAND,0,3
IRAN,UNITED STATES,0,1
AUSTRALIA,DENMARK,1,0
TUNISIA,FRANCE,1,0
POLAND,ARGENTINA,0,2
SAUDI ARABIA,MEXICO,1,2
CROATIA,BELGIUM,0,0
CANADA,MOROCCO,1,2
JAPAN,SPAIN,2,1
COSTA RICA,GERMANY,2,4
GHANA,URUGUAY,0,2
KOREA REPUBLIC,PORTUGAL,2,1
SERBIA,SWITZERLAND,2,3
CAMEROON,BRAZIL,1,0
NETHERLANDS,UNITED STATES,3,1
ARGENTINA,AUSTRALIA,2,1
FRANCE,POLAND,3,1
ENGLAND,SENEGAL,3,0
JAPAN,CROATIA,1,1
BRAZIL,KOREA REPUBLIC,4,1
MOROCCO,SPAIN,0,0
PORTUGAL,SWITZERLAND,6,1
CROATIA,BRAZIL,1,1
NETHERLANDS,ARGENTINA,2,2
MOROCCO,PORTUGAL,1,0
ENGLAND,FRANCE,1,2
ARGENTINA,CROATIA,3,0
FRANCE,MOROCCO,2,0
CROATIA,MOROCCO,2,1
ARGENTINA,FRANCE,3,3
